지역구,주소
서대문구,연세로11길 16(창천동)
서대문구,연세로9길 8(창천동)
서대문구,연세로4길 12(창천동)
서대문구,연대동문길 26(대신동)
서대문구,봉원사길6 화인빌딩 1층(대신동)
서대문구,이화여대길 52 이화여자대학교 ECC 지하 4층(대현동)
서대문구,이화여대길 7(대현동)
서대문구,이화여대3길 6(대현동)
마포구,서울시 마포구 월드컵로 139 (망원동)
마포구,서울시 마포구 월드컵로 36길 18 삼라마이다스 101호
마포구,"서울시  마포구 성암로3길 14,1층(중동)"
마포구,서울특별시 마포구 망원동 431-43번지
마포구,서울시 마포구 월드컵로 83 (망원동)
마포구,서울시 마포구 망원로 95
마포구,서울시 마포구 월드컵북로 381 (상암동) 111
마포구,서울특별시 마포구 서교동 370-18번지
마포구,서울특별시 마포구 서교동 459-1번지
마포구,서울시 마포구 양화로 133
마포구,서울특별시 마포구 노고산동 56-74번지
마포구,서울특별시 마포구 합정동 395-1번지
마포구,서울특별시 마포구 마포대로 195 상가4동
마포구,서울특별시 마포구 염리동 155-11번지
마포구,서울특별시 마포구 망원동 462-14번지
마포구,서울특별시 마포구 합정동 412-8번지
마포구,서울특별시 마포구 서교동 328-13번지
마포구,서울특별시 마포구 상암동1687번지 상암프라자 1층 105호
마포구,서울특별시 마포구 연남동256-6번지
마포구,서울특별시 마포구 신공덕동12-6번지 2층 201호
마포구,서울 마포구 도화 344
마포구,서울 마포구 성산동 260-39
마포구,"서울 마포구 상암동 1752상암월드컵파크9단지104,5호"
마포구,서울 마포구 동교로17안길 51 (서교동 448-25)
마포구,서울 마포구 연남동 257-23
마포구,서울 마포구 월드컵북로6길 69(연남동 567-11)
마포구,서울 마포구 동교동 154-1
마포구,"서울 마포구 도화4길 88, 1층 (도화동 347-60)"
마포구,"서울 마포구 양화로 59, 1층 우측면 (서교동 393-5)"
마포구,"서울 마포구 상암산로1길 92, 상가 101호 (상암동 1660, 월드컵파크7단지)"
마포구,"서울 마포구 포은로 42, 1층(합정동 434-8)"
